cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,autonomia_financiera,bloque_educativo
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,4,1,sí,10000,1,sí,2,no,2,no,1,sí,0,113,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,4,2,no,0,2,no,1,sí,2,no,1,sí,1,113,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,13.0,3,B2,4,viuda,4,2,no,0,2,no,1,sí,2,no,2,no,0,227,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,4,1,sí,8500,1,sí,2,no,1,sí,1,sí,0,113,alta,superior_o_posgrado
1,aguascalientes,1,aguascalientes,20.0,3,B1,2,separada,2,1,sí,400,1,sí,2,no,2,no,1,sí,1,155,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,10.0,3,B2,4,viuda,2,1,sí,1000,1,sí,1,sí,2,no,1,sí,0,78,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,5.0,4,B1,2,separada,2,1,sí,1000,1,sí,2,no,2,no,1,sí,0,78,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,98.0,3,B2,4,viuda,2,2,no,0,2,no,2,no,2,no,1,sí,1,78,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,1,sí,2,no,2,no,1,89,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,1,sí,1,sí,1,sí,0,178,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,5800,1,sí,2,no,2,no,2,no,0,266,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,4,2,no,0,2,no,2,no,2,no,2,no,0,201,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,10.0,3,B1,2,separada,3,1,sí,1200,1,sí,2,no,2,no,2,no,1,89,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,0.0,3,B2,4,viuda,3,2,no,0,1,sí,1,sí,2,no,1,sí,0,89,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,1,sí,1,sí,1,sí,0,89,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,2,no,1,sí,0,89,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,1000,1,sí,2,no,2,no,2,no,0,89,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,13.0,3,B2,4,viuda,3,2,no,0,2,no,2,no,2,no,1,sí,0,253,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,32.0,3,B2,4,viuda,3,2,no,0,2,no,2,no,2,no,1,sí,0,169,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,3,1,sí,1000,2,no,1,sí,2,no,2,no,1,84,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,2500,1,sí,2,no,2,no,2,no,1,84,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,2,no,1,sí,0,84,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,2,no,0,2,no,2,no,2,no,1,sí,0,87,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,1.0,1,B1,2,separada,3,2,no,0,1,sí,2,no,2,no,1,sí,0,347,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,8.0,3,B2,4,viuda,3,1,sí,999998,1,sí,2,no,2,no,1,sí,0,87,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,3,1,sí,2500,1,sí,2,no,2,no,2,no,0,87,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,1,sí,1200,1,sí,2,no,2,no,1,sí,0,174,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,2,no,2,no,1,sí,1,sí,0,254,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,2,no,0,2,no,2,no,2,no,1,sí,0,85,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,1,sí,1,sí,0,85,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,4800,1,sí,2,no,2,no,1,sí,0,85,media,basica_o_primaria
