cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,anio_encuesta
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,4,1,Sí,10000.0,1,Sí,2,No,2,No,1,Sí,0,113,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,4,2,No,,2,No,1,Sí,2,No,1,Sí,1,113,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,13.0,3.0,B2,4,Viuda,4,2,No,,2,No,1,Sí,2,No,2,No,0,227,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,4,1,Sí,8500.0,1,Sí,2,No,1,Sí,1,Sí,0,113,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,20.0,3.0,B1,2,Separada,2,1,Sí,400.0,1,Sí,2,No,2,No,1,Sí,1,155,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,10.0,3.0,B2,4,Viuda,2,1,Sí,1000.0,1,Sí,1,Sí,2,No,1,Sí,0,78,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,5.0,4.0,B1,2,Separada,2,1,Sí,1000.0,1,Sí,2,No,2,No,1,Sí,0,78,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,98.0,3.0,B2,4,Viuda,2,2,No,,2,No,2,No,2,No,1,Sí,1,78,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,2,No,,1,Sí,1,Sí,2,No,2,No,1,89,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,2,No,,1,Sí,1,Sí,1,Sí,1,Sí,0,178,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,1,Sí,5800.0,1,Sí,2,No,2,No,2,No,0,266,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,4,2,No,,2,No,2,No,2,No,2,No,0,201,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,10.0,3.0,B1,2,Separada,3,1,Sí,1200.0,1,Sí,2,No,2,No,2,No,1,89,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,0.0,3.0,B2,4,Viuda,3,2,No,,1,Sí,1,Sí,2,No,1,Sí,0,89,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,2,No,,1,Sí,1,Sí,1,Sí,1,Sí,0,89,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,2,No,,1,Sí,2,No,2,No,1,Sí,0,89,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,1,Sí,1000.0,1,Sí,2,No,2,No,2,No,0,89,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,13.0,3.0,B2,4,Viuda,3,2,No,,2,No,2,No,2,No,1,Sí,0,253,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,32.0,3.0,B2,4,Viuda,3,2,No,,2,No,2,No,2,No,1,Sí,0,169,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,1.0,A1,1,Unión libre,3,1,Sí,1000.0,2,No,1,Sí,2,No,2,No,1,84,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,1,Sí,2500.0,1,Sí,2,No,2,No,2,No,1,84,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,2,No,,1,Sí,2,No,2,No,1,Sí,0,84,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,2,No,,2,No,2,No,2,No,1,Sí,0,87,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,1.0,1.0,B1,2,Separada,3,2,No,,1,Sí,2,No,2,No,1,Sí,0,347,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,8.0,3.0,B2,4,Viuda,3,1,Sí,999998.0,1,Sí,2,No,2,No,1,Sí,0,87,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,1.0,A1,1,Unión libre,3,1,Sí,2500.0,1,Sí,2,No,2,No,2,No,0,87,2021
